provider_id,year_month,claims_n,members_unique_n,billed_total,approved_total,avg_claim_amount,median_claim_amount,p95_claim_amount,emergency_claims_n,inpatient_claims_n,preventive_claims_n,duplicate_claims_n,suspicious_claims_n,dx_proc_mismatch_n,high_severity_share,suspicious_claim_ratio,provider_type,specialty_group,provider_archetype,cost_vs_peer_index,utilization_density_index,anomaly_score_provider,provider_alert_level
PRV00001,2024-01,13,13,2742.69,2392.39,210.97615384615386,146.86,500.6119999999999,1,0,1,0,0,0,0.077,0.0,Clinic,Pediatrics,Normal,0.465,1.0,0.01,Normal
PRV00001,2024-02,15,15,4396.21,4124.88,293.0806666666667,214.67,753.0729999999985,0,0,1,0,1,0,0.067,0.067,Clinic,Pediatrics,Normal,0.712,1.0,0.033,Normal
PRV00001,2024-03,22,22,4743.86,4029.39,215.63,174.76,432.4795,3,0,2,0,2,0,0.136,0.091,Clinic,Pediatrics,Normal,0.46,1.0,0.042,Normal
PRV00001,2024-04,21,21,5924.08,5257.6,282.0990476190476,208.72,585.66,1,0,3,0,0,0,0.095,0.0,Clinic,Pediatrics,Normal,0.578,1.0,0.01,Normal
PRV00001,2024-05,14,14,3866.52,3374.29,276.18,236.51,590.6809999999998,1,0,2,0,0,0,0.214,0.0,Clinic,Pediatrics,Normal,0.756,1.0,0.01,Normal
PRV00001,2024-06,13,13,4848.78,4005.82,372.9830769230769,204.03,1260.6579999999974,0,0,1,2,2,0,0.077,0.154,Clinic,Pediatrics,Normal,0.849,1.0,0.064,Normal
PRV00001,2024-07,13,13,8070.57,7361.429999999999,620.8130769230769,177.87,2698.9579999999933,2,0,0,1,2,0,0.077,0.154,Clinic,Pediatrics,Normal,1.456,1.0,0.178,Normal
PRV00001,2024-08,13,13,4108.16,3602.8900000000003,316.0123076923077,269.17,836.0099999999995,1,0,3,0,0,0,0.0,0.0,Clinic,Pediatrics,Normal,0.916,1.0,0.01,Normal
PRV00001,2024-09,16,16,6727.29,5766.650000000001,420.455625,218.345,1307.4499999999998,2,0,2,0,0,0,0.0,0.0,Clinic,Pediatrics,Normal,0.996,1.0,0.01,Normal
PRV00001,2024-10,15,15,7383.3,6453.02,492.22,255.58,1539.8889999999963,1,0,0,0,0,0,0.2,0.0,Clinic,Pediatrics,Normal,1.219,1.0,0.065,Normal
PRV00001,2024-11,14,14,4823.83,4395.2699999999995,344.5592857142857,179.14499999999998,904.4284999999995,0,0,3,0,0,0,0.071,0.0,Clinic,Pediatrics,Normal,0.826,1.0,0.01,Normal
PRV00001,2024-12,20,20,4598.9,4081.61,229.945,178.845,621.552,2,0,1,0,2,0,0.05,0.1,Clinic,Pediatrics,Normal,0.545,1.0,0.045,Normal
PRV00001,2025-01,13,12,6342.33,5647.219999999999,487.8715384615385,121.92,2017.3039999999955,3,0,1,0,1,0,0.154,0.077,Clinic,Pediatrics,Normal,1.019,1.083,0.042,Normal
PRV00001,2025-02,16,16,4140.22,3749.33,258.76375,175.48000000000002,671.9150000000001,2,0,2,0,1,0,0.062,0.062,Clinic,Pediatrics,Normal,0.657,1.0,0.032,Normal
PRV00001,2025-03,19,18,3747.14,3273.64,197.2178947368421,193.54,418.743,1,0,3,0,2,0,0.0,0.105,Clinic,Pediatrics,Normal,0.471,1.056,0.047,Normal
PRV00001,2025-04,15,15,3099.03,2659.09,206.602,225.48,347.23999999999995,3,0,2,0,1,0,0.0,0.067,Clinic,Pediatrics,Normal,0.451,1.0,0.033,Normal
PRV00001,2025-05,10,10,3506.31,3167.91,350.631,205.875,994.041,1,0,2,1,1,0,0.0,0.1,Clinic,Pediatrics,Normal,0.889,1.0,0.045,Normal
PRV00001,2025-06,14,14,10854.1,9169.89,775.2928571428572,192.825,3602.115499999999,1,0,1,1,1,0,0.071,0.071,Clinic,Pediatrics,Normal,1.951,1.0,0.273,Watchlist
PRV00001,2025-07,17,16,4605.15,3963.33,270.8911764705882,265.0,492.37199999999984,2,0,0,0,1,0,0.059,0.059,Clinic,Pediatrics,Normal,0.676,1.062,0.031,Normal
PRV00001,2025-08,8,8,1896.31,1572.23,237.03875,220.065,373.02099999999996,2,0,3,0,1,0,0.125,0.125,Clinic,Pediatrics,Normal,0.541,1.0,0.054,Normal
PRV00001,2025-09,9,9,1571.03,1358.04,174.55888888888887,117.92,385.42199999999997,1,0,1,0,1,0,0.0,0.111,Clinic,Pediatrics,Normal,0.456,1.0,0.049,Normal
PRV00001,2025-10,20,20,5196.27,4702.26,259.81350000000003,199.115,442.28000000000065,4,0,3,2,4,0,0.0,0.2,Clinic,Pediatrics,Normal,0.599,1.0,0.08,Normal
PRV00001,2025-11,7,7,1320.37,1182.1100000000001,188.6242857142857,197.84,280.03,0,0,0,0,0,0,0.0,0.0,Clinic,Pediatrics,Normal,0.474,1.0,0.01,Normal
PRV00001,2025-12,26,26,6184.96,5597.17,237.8830769230769,143.285,621.5375,3,0,1,0,1,0,0.115,0.038,Clinic,Pediatrics,Normal,0.512,1.0,0.023,Normal
PRV00002,2024-01,8,8,1271.74,1057.52,158.9675,149.595,280.59799999999996,0,0,0,1,2,0,0.0,0.25,Specialist Center,Pulmonology,Normal,0.475,1.0,0.098,Normal
PRV00002,2024-02,7,7,1626.21,1374.5700000000002,232.31571428571428,165.37,410.6809999999999,0,0,1,0,0,0,0.143,0.0,Specialist Center,Pulmonology,Normal,0.538,1.0,0.01,Normal
PRV00002,2024-03,4,4,758.04,638.14,189.51,194.2,229.6755,0,0,0,0,0,0,0.0,0.0,Specialist Center,Pulmonology,Normal,0.737,1.0,0.01,Normal
PRV00002,2024-04,4,4,1329.21,1112.91,332.3025,225.63,719.9164999999998,0,0,1,0,0,0,0.0,0.0,Specialist Center,Pulmonology,Normal,1.238,1.0,0.07,Normal
PRV00002,2024-05,8,8,1987.3,1751.1399999999999,248.4125,128.905,806.8439999999996,0,0,0,0,0,0,0.125,0.0,Specialist Center,Pulmonology,Normal,0.834,1.0,0.01,Normal
PRV00002,2024-06,9,9,2073.97,1806.28,230.4411111111111,123.86,639.1919999999998,0,0,2,0,0,0,0.111,0.0,Specialist Center,Pulmonology,Normal,0.721,1.0,0.01,Normal
PRV00002,2024-07,7,7,1444.4,1294.08,206.34285714285716,213.31,260.4,0,0,0,0,1,0,0.0,0.143,Specialist Center,Pulmonology,Normal,0.78,1.0,0.06,Normal
PRV00002,2024-08,4,4,666.44,524.56,166.61,147.405,232.81699999999998,0,0,1,0,0,0,0.0,0.0,Specialist Center,Pulmonology,Normal,0.589,1.0,0.01,Normal
PRV00002,2024-09,2,2,435.74,411.75,217.87,217.87,221.09199999999998,0,0,0,0,0,0,0.5,0.0,Specialist Center,Pulmonology,Normal,0.713,1.0,0.01,Normal
PRV00002,2024-10,5,5,1153.73,1044.98,230.746,225.91,429.722,0,0,0,0,0,0,0.0,0.0,Specialist Center,Pulmonology,Normal,0.779,1.0,0.01,Normal
PRV00002,2024-11,5,5,1756.02,1527.24,351.204,148.54,1008.3579999999998,0,0,2,0,0,0,0.0,0.0,Specialist Center,Pulmonology,Normal,0.932,1.0,0.01,Normal
PRV00002,2024-12,9,9,2221.37,1936.73,246.81888888888886,132.44,696.2919999999999,0,0,1,0,0,0,0.222,0.0,Specialist Center,Pulmonology,Normal,0.942,1.0,0.01,Normal
PRV00002,2025-01,6,6,2338.9500000000003,2038.1200000000001,389.82500000000005,345.82000000000005,674.2225,0,0,0,0,1,0,0.0,0.167,Specialist Center,Pulmonology,Normal,0.907,1.0,0.068,Normal
PRV00002,2025-02,4,4,750.5699999999999,687.96,187.64249999999998,171.885,330.81049999999993,0,0,1,0,0,0,0.25,0.0,Specialist Center,Pulmonology,Normal,0.579,1.0,0.01,Normal
PRV00002,2025-03,17,17,6403.11,5660.76,376.6535294117647,277.64,753.0439999999992,0,0,3,1,4,0,0.118,0.235,Specialist Center,Pulmonology,Normal,1.365,1.0,0.184,Normal
PRV00002,2025-04,6,6,974.45,883.03,162.40833333333333,128.19,284.02,0,0,0,0,1,0,0.167,0.167,Specialist Center,Pulmonology,Normal,0.475,1.0,0.068,Normal
PRV00002,2025-05,6,6,910.39,771.4399999999999,151.73166666666665,120.895,263.3325,0,0,1,1,1,0,0.0,0.167,Specialist Center,Pulmonology,Normal,0.578,1.0,0.068,Normal
PRV00002,2025-06,7,7,1229.3600000000001,1142.57,175.62285714285716,165.27,322.94199999999995,0,0,0,0,0,0,0.143,0.0,Specialist Center,Pulmonology,Normal,0.588,1.0,0.01,Normal
PRV00002,2025-07,10,10,2646.3199999999997,2419.72,264.63199999999995,244.49,411.20899999999995,0,0,1,0,1,0,0.0,0.1,Specialist Center,Pulmonology,Normal,0.796,1.0,0.045,Normal
PRV00002,2025-08,9,9,2003.6,1826.49,222.6222222222222,219.75,443.6239999999999,0,0,2,0,1,0,0.0,0.111,Specialist Center,Pulmonology,Normal,0.777,1.0,0.049,Normal
PRV00002,2025-09,7,7,2611.63,2238.45,373.09000000000003,142.26,1154.6639999999995,0,0,0,0,1,0,0.143,0.143,Specialist Center,Pulmonology,Normal,1.061,1.0,0.075,Normal
PRV00002,2025-10,9,9,1900.38,1673.75,211.15333333333334,148.45,422.064,0,0,1,0,0,0,0.0,0.0,Specialist Center,Pulmonology,Normal,0.716,1.0,0.01,Normal
PRV00002,2025-11,9,9,3062.99,2683.3,340.3322222222222,156.98,816.884,0,0,0,0,0,0,0.111,0.0,Specialist Center,Pulmonology,Normal,0.916,1.0,0.01,Normal
PRV00002,2025-12,6,6,5263.7300000000005,4657.24,877.2883333333334,239.45,3178.69,0,0,0,0,0,0,0.167,0.0,Specialist Center,Pulmonology,Normal,2.665,1.0,0.426,Watchlist
PRV00003,2024-01,2,2,557.39,426.36,278.695,278.695,344.4355,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.134,1.0,0.057,Normal
PRV00003,2024-02,7,7,2271.22,2087.51,324.46,259.77,666.0529999999997,0,0,1,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.136,1.0,0.058,Normal
PRV00003,2024-03,3,3,519.78,489.64,173.26,146.08,281.179,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,0.7,1.0,0.024,Normal
PRV00003,2024-04,3,3,819.39,735.89,273.13,215.46,503.928,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,0.941,1.0,0.024,Normal
PRV00003,2024-05,2,2,219.51999999999998,171.32999999999998,109.75999999999999,109.75999999999999,122.324,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,0.492,1.0,0.024,Normal
